 -5.310	  2.252	  3.738	  2.671	-11.814	 -2.725	 -3.320	 -5.864	 -2.819	 -5.568	 -4.396	 -4.154	 -0.143	  1.212	 -0.465	  0.073	 -1.572	 -0.202	 -0.022	 -5.368	 -2.245	  1.486	  2.727	 -6.808	 -4.222	  2.566	  2.800	  3.052	  2.676	 -0.881	  0.233	  0.059	  0.070	  0.110	  0.135
 -4.386	 -1.424	 -2.066	  2.405	 -2.891	  0.637	 -6.856	  0.703	-18.838	-14.706	 -1.692	 -0.795	 -5.817	 -1.833	 -0.951	-15.090	 -0.778	 -1.678	 -1.707	 -7.438	 -0.764	 -2.430	 -2.357	 -8.032	 -8.841	 -8.361	 -1.535	 -5.031	 -6.850	 -2.792	  0.087	  0.163	  0.097	  0.085	  0.135
 -2.362	  6.565	  3.836	  1.544	  4.679	  2.516	  5.211	  5.194	  6.006	 -0.747	  6.891	 -1.861	  2.610	  7.005	  3.097	  8.332	  7.625	  7.195	  3.124	  4.793	  4.773	  5.896	  6.666	  1.456	  5.049	-10.728	 -9.800	 -0.934	 -5.950	  4.403	  0.099	  0.213	  0.225	  0.213	  0.246
  2.851	  3.710	  3.661	  3.252	  6.410	 -5.817	  2.629	  5.428	  2.359	 -4.736	 -0.994	  1.963	 -8.602	 -2.005	  8.262	  8.924	  3.655	  4.033	 -1.745	  1.122	  3.864	  6.412	  0.940	  3.751	  3.088	  1.771	  4.343	  3.636	 -3.415	  0.558	  0.229	  0.064	  0.222	  0.207	  0.155
 -5.512	  5.929	  3.760	  5.492	  3.502	 -2.210	 -7.574	-22.992	  3.652	  0.626	 -2.301	  0.223	  3.011	  1.212	  2.606	 -2.720	  4.761	  1.832	 -0.083	 -9.815	  3.793	 -2.571	  4.524	  2.654	 -3.824	  4.529	  3.017	 -9.484	 -3.802	 -0.430	  0.222	  0.160	  0.105	  0.081	  0.195
  3.301	  2.801	  7.663	  4.512	  3.349	  6.226	  3.748	  4.273	  3.286	  3.527	  3.553	  4.175	 -1.700	 -3.500	  4.818	 -2.702	 -5.443	 -2.310	  2.323	 -0.558	 -9.331	  4.210	  1.079	 -0.444	 -3.098	 -2.239	-10.051	  2.122	 -5.463	 -3.501	  0.163	  0.178	  0.187	  0.153	  0.146
  3.332	  6.450	  7.368	  7.437	  6.137	  1.510	  5.882	  6.639	  3.605	  3.947	  3.234	  2.807	  0.449	  5.605	  0.668	  4.696	  6.393	  5.926	  5.428	  3.386	  5.802	  6.002	 -3.372	-12.452	-29.869	  4.401	 -0.745	  6.172	  4.324	  5.136	  0.188	  0.229	  0.218	  0.060	  0.245
  0.695	  2.409	 -1.528	 -2.339	  2.743	-13.609	  0.495	 -5.692	  2.664	 -8.151	 -5.419	  1.984	  2.996	  0.870	 -1.290	  1.331	 -1.181	  3.063	 -0.336	  4.744	  3.754	  0.243	 -1.372	 -8.311	  4.277	  2.690	  4.118	  3.117	  1.060	  3.881	  0.113	  0.184	  0.099	  0.122	  0.231
  4.176	  4.749	  6.495	  4.034	 -0.974	  4.420	  2.859	 -3.409	  1.828	  0.825	 -4.741	 -7.345	  0.315	  2.366	  6.180	  2.612	  7.134	  5.838	 -2.795	  2.034	  4.033	  3.872	  3.622	  3.283	  4.686	  4.182	  1.434	 -1.637	  4.428	  4.172	  0.215	  0.106	  0.091	  0.244	  0.178
  1.258	  5.703	-22.330	  6.387	  2.335	-11.339	  3.166	  4.138	  4.682	 -9.555	 -5.199	 -0.536	 -0.679	  6.488	  3.869	  6.851	  3.633	  5.348	  4.832	 -0.050	  1.962	 -7.799	 -8.044	  1.351	  1.178	  0.851	  1.307	 -3.315	 -1.727	 -4.577	  0.143	  0.070	  0.224	  0.233	  0.144
